[I 2026-05-21 22:11:19,656] A new study created in memory with name: no-name-1f849250-cfeb-4c8f-bb42-de7fac3c0aed
[I 2026-05-21 22:13:28,226] Trial 40 finished with value: 73.35343736718578 and parameters: {'bias_alpha': 0.981105367268694, 'bias_combine_ratio': 0.40442453004176354, 'max_weight': 0.7301541513666212, 'mape_window': 31, 'bias_window': 13, 'short_vol_window': 10}. Best is trial 39 with value: 73.35345365108971.
[I 2026-05-21 22:13:31,599] Trial 41 finished with value: 73.35331169240143 and parameters: {'bias_alpha': 0.9843514647535095, 'bias_combine_ratio': 0.39871084597092177, 'max_weight': 0.7288676713123711, 'mape_window': 31, 'bias_window': 13, 'short_vol_window': 10}. Best is trial 39 with value: 73.35345365108971.
[I 2026-05-21 22:13:34,708] Trial 42 finished with value: 73.34922647051454 and parameters: {'bias_alpha': 0.9812666893030421, 'bias_combine_ratio': 0.4227949473723031, 'max_weight': 0.7196403450703187, 'mape_window': 32, 'bias_window': 13, 'short_vol_window': 10}. Best is trial 39 with value: 73.35345365108971.
[I 2026-05-21 22:13:37,801] Trial 43 finished with value: 73.353935183629 and parameters: {'bias_alpha': 0.9922540479992233, 'bias_combine_ratio': 0.38846243432306643, 'max_weight': 0.7444935433915212, 'mape_window': 33, 'bias_window': 13, 'short_vol_window': 11}. Best is trial 43 with value: 73.353935183629.
[I 2026-05-21 22:13:40,859] Trial 44 finished with value: 73.35397375974965 and parameters: {'bias_alpha': 0.9931193947190561, 'bias_combine_ratio': 0.3884076316611687, 'max_weight': 0.7406781680054076, 'mape_window': 33, 'bias_window': 13, 'short_vol_window': 11}. Best is trial 44 with value: 73.35397375974965.
[I 2026-05-21 22:13:43,981] Trial 45 finished with value: 73.35416778336881 and parameters: {'bias_alpha': 0.9974750400074843, 'bias_combine_ratio': 0.411920122464993, 'max_weight': 0.7439707138664445, 'mape_window': 33, 'bias_window': 13, 'short_vol_window': 11}. Best is trial 45 with value: 73.35416778336881.
[I 2026-05-21 22:13:46,989] Trial 46 finished with value: 73.3542798374461 and parameters: {'bias_alpha': 0.9999930374040211, 'bias_combine_ratio': 0.4134783250775829, 'max_weight': 0.7401356054179978, 'mape_window': 33, 'bias_window': 13, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:13:50,014] Trial 47 finished with value: 73.35427675915412 and parameters: {'bias_alpha': 0.999923844888174, 'bias_combine_ratio': 0.4334873323089069, 'max_weight': 0.7441753146873527, 'mape_window': 33, 'bias_window': 12, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:13:53,164] Trial 48 finished with value: 73.35409913120625 and parameters: {'bias_alpha': 0.995933247747395, 'bias_combine_ratio': 0.43309810889877853, 'max_weight': 0.7470586724642707, 'mape_window': 33, 'bias_window': 12, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:13:56,419] Trial 49 finished with value: -999926.7520750317 and parameters: {'bias_alpha': 0.997525860092981, 'bias_combine_ratio': 0.43356480658250157, 'max_weight': 0.7412298068781091, 'mape_window': 40, 'bias_window': 19, 'short_vol_window': 9}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:13:59,440] Trial 50 finished with value: 73.3496257158138 and parameters: {'bias_alpha': 0.9903357387409379, 'bias_combine_ratio': 0.4180076307385821, 'max_weight': 0.7006000032779759, 'mape_window': 34, 'bias_window': 12, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:02,517] Trial 51 finished with value: 73.35394121193914 and parameters: {'bias_alpha': 0.992389273210376, 'bias_combine_ratio': 0.4325931093441776, 'max_weight': 0.7460322770293479, 'mape_window': 33, 'bias_window': 12, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:05,644] Trial 52 finished with value: 73.35426558571146 and parameters: {'bias_alpha': 0.9996733924849333, 'bias_combine_ratio': 0.43566388544190365, 'max_weight': 0.7520736692232399, 'mape_window': 36, 'bias_window': 12, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
