decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
2663,debrepair_debounced_efficiency_repair_4h_solusdt_short_only_lb12_e0p02_x0p005_hold12_cool0_low_vol_q55_adx15_3p0x_0p15_71e09195,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,4h,0.2530373066479079,0.08300316150857534,0.012741260454424364,False,False,False,locked_oos_trade_event_count_13_below_20
2674,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold12_cool0_none_3p0x_0p1_bd0de9ea,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.23351890727880287,0.06650579934004996,0.0038795348890678927,False,False,False,locked_oos_return_per_turnover_proxy_bps_3.803_not_above_10.000
2675,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold12_cool0_none_2p0x_0p15_dba68272,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.23351890727880198,0.06650579934004996,0.0038795348890676706,False,False,False,locked_oos_return_per_turnover_proxy_bps_3.803_not_above_10.000
2683,debrepair_debounced_efficiency_repair_4h_solusdt_short_only_lb6_e0p025_x0p0_hold48_cool0_adx20_2p0x_0p15_8243bb1d,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,4h,0.23535767054803158,0.07572518705326647,0.00558728692758681,False,False,False,train_trade_event_count_62_below_80;validation_trade_event_count_17_below_30;locked_oos_trade_event_count_7_below_20
2684,debrepair_debounced_efficiency_repair_4h_solusdt_short_only_lb6_e0p025_x0p0_hold48_cool0_adx20_3p0x_0p1_ba634756,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,4h,0.23535767054803047,0.07572518705326625,0.00558728692758681,False,False,False,train_trade_event_count_62_below_80;validation_trade_event_count_17_below_30;locked_oos_trade_event_count_7_below_20
2693,debrepair_debounced_efficiency_repair_1h_ethusdt_long_short_lb6_e0p02_x0p005_hold48_cool0_adx20_3p0x_0p1_f8410819,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.0973497223418256,0.15583088438494364,0.04918802520582677,False,False,False,train_return_0.0973_below_validation_return_0.1558;train_validation_return_ratio_0.6247_below_1.00
2694,debrepair_debounced_efficiency_repair_1h_ethusdt_long_short_lb6_e0p02_x0p005_hold48_cool0_adx20_2p0x_0p15_a9dfb1da,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.09734972234182537,0.15583088438494364,0.04918802520582677,False,False,False,train_return_0.0973_below_validation_return_0.1558;train_validation_return_ratio_0.6247_below_1.00
2697,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb12_e0p03_x0p0_hold36_cool0_trend_strength2_3p0x_0p15_b92c67ba,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.10211475726604746,0.07697857873168812,0.01652025838727278,False,False,False,locked_oos_trade_event_count_12_below_20
2698,debrepair_debounced_efficiency_repair_1h_ethusdt_short_only_lb12_e0p03_x-0p005_hold36_cool0_trend_strength2_3p0x_0p15_d2954528,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,1h,0.10211475726604746,0.07697857873168812,0.01652025838727278,False,False,False,locked_oos_trade_event_count_12_below_20
2702,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p02_x0p005_hold24_cool0_trend_strength2_3p0x_0p15_c6ebae40,paper_testnet_candidate_after_fill_preflight,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.170562319511794,0.07892078566447691,0.02367768700711137,True,False,False,
2721,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold12_cool6_adx20_4p0x_0p1_200ca6b9,paper_testnet_candidate_after_fill_preflight,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.172376278333348,0.08611935274357663,0.012826162289531373,True,False,False,
2734,debrepair_debounced_efficiency_repair_2h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool0_low_vol_q65_3p0x_0p15_8bb97461,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,2h,0.11552390030442994,0.15214949214252993,0.025524422196089303,False,False,False,train_return_0.1155_below_validation_return_0.1521;train_validation_return_ratio_0.7593_below_1.00;validation_mdd_0.1229_above_0.12
2738,debrepair_debounced_efficiency_repair_4h_solusdt_short_only_lb12_e0p02_x0p005_hold24_cool12_low_vol_q55_adx15_4p0x_0p1_e75201a6,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,4h,0.12172846803249304,0.07299262966791664,0.022548170832493497,False,False,False,validation_trade_event_count_23_below_30;locked_oos_trade_event_count_9_below_20
2748,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p03_x0p0_hold48_cool0_low_vol_q65_4p0x_0p1_e90fefd7,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.16469102074585562,0.08437223558057605,0.011204863473207816,False,False,False,validation_trade_event_count_25_below_30;locked_oos_trade_event_count_8_below_20
2749,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p03_x0p0_hold48_cool6_low_vol_q65_4p0x_0p1_2716dca7,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.21293365728428837,0.08437223558057605,0.011204863473207816,False,False,False,validation_trade_event_count_25_below_30;locked_oos_trade_event_count_8_below_20
2752,debrepair_debounced_efficiency_repair_2h_solusdt_short_only_lb12_e0p025_x0p0_hold36_cool12_none_3p0x_0p1_f5ff9870,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,2h,0.1285747808852904,0.06309823551801852,0.005736615134955825,False,False,False,locked_oos_trade_event_count_14_below_20
2753,debrepair_debounced_efficiency_repair_2h_solusdt_short_only_lb12_e0p025_x0p0_hold36_cool12_none_2p0x_0p15_f12783c7,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,2h,0.1285747808852904,0.0630982355180183,0.005736615134955825,False,False,False,locked_oos_trade_event_count_14_below_20
2754,debrepair_debounced_efficiency_repair_2h_ethusdt_short_only_lb6_e0p02_x0p005_hold18_cool6_trend_strength2_3p0x_0p15_b285cd42,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.09263672596885653,0.10150520972692334,0.03049687135342194,False,False,False,validation_trade_event_count_28_below_30;locked_oos_trade_event_count_14_below_20;train_return_0.0926_below_validation_return_0.1015;train_validation_return_ratio_0.9126_below_1.00
2755,debrepair_debounced_efficiency_repair_2h_solusdt_short_only_lb6_e0p02_x0p005_hold36_cool0_adx20_3p0x_0p15_d1a13eb8,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,2h,0.13922064063261175,0.0932574665426753,0.04794454444644125,False,False,False,locked_oos_trade_event_count_15_below_20;validation_mdd_0.1394_above_0.12
2783,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p025_x0p0_hold36_cool6_adx20_4p0x_0p1_d29a687c,paper_testnet_candidate_after_fill_preflight,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.25542583242718586,0.0768244043940518,0.03987795606233635,True,False,False,
2784,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x-0p005_hold18_cool0_adx20_2p0x_0p15_7db2abdf,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.18353106726292445,0.06368160247727794,0.005125377815465182,False,False,False,locked_oos_trade_event_count_12_below_20
2785,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x-0p005_hold18_cool6_adx20_2p0x_0p15_b4cc8050,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.19229089098451246,0.06368160247727794,0.005125377815465182,False,False,False,locked_oos_trade_event_count_12_below_20
2786,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x-0p005_hold18_cool0_adx20_3p0x_0p1_82d87428,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.18353106726292467,0.0636816024772775,0.005125377815465404,False,False,False,locked_oos_trade_event_count_12_below_20
2787,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x-0p005_hold18_cool6_adx20_3p0x_0p1_44f2542f,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.19229089098451269,0.0636816024772775,0.005125377815465404,False,False,False,locked_oos_trade_event_count_12_below_20
2789,debrepair_debounced_efficiency_repair_2h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool0_low_vol_q65_4p0x_0p1_e3843274,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,2h,0.10641119213264205,0.13476380595892423,0.022771653933243652,False,False,False,train_return_0.1064_below_validation_return_0.1348;train_validation_return_ratio_0.7896_below_1.00
2794,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_adx20_4p0x_0p1_c05661f5,paper_testnet_candidate_after_fill_preflight,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.20126810306722853,0.08425522375827188,0.012667616826911976,True,False,False,
2806,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x0p0_hold18_cool0_none_2p0x_0p15_8d262a65,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.20099899609105298,0.06115084273632121,0.007710684401144752,False,False,False,locked_oos_trade_event_count_12_below_20
2807,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x0p0_hold18_cool0_none_3p0x_0p1_f88dcd50,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.2009989960910532,0.06115084273632121,0.007710684401144974,False,False,False,locked_oos_trade_event_count_12_below_20
2808,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x0p0_hold18_cool0_adx20_2p0x_0p15_850ff947,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.1860413637481826,0.06115084273632121,0.007710684401144752,False,False,False,locked_oos_trade_event_count_12_below_20
2809,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x0p0_hold18_cool0_adx20_3p0x_0p1_f072278d,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.18604136374818303,0.06115084273632121,0.007710684401144974,False,False,False,locked_oos_trade_event_count_12_below_20
2810,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p03_x0p0_hold18_cool6_none_2p0x_0p15_424758d1,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.2030855815414243,0.06115084273632121,0.007710684401144752,False,False,False,locked_oos_trade_event_count_12_below_20
