decision_rank,model_id,decision,family,symbol,timeframe,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
48,htf_trend_1h_ethusdt_lb12_th0p02_5p0x_0p1_903884e2,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,1h,0.06803187164407509,0.0051353419803681355,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.8814_below_0.50;train_return_per_turnover_proxy_bps_-1.718_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_2.140_not_above_10.000
49,htf_trend_4h_trxusdt_lb48_th0p005_3p0x_0p1_57d675db,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.057957777155098755,0.017937938787642604,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.5463_below_0.50;train_return_per_turnover_proxy_bps_-4.510_not_above_10.000
50,htf_funding_squeeze_2h_solusdt_lb24_-2e-05_4p0x_0p1_2844a32e,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,2h,0.06877583603079107,-0.0016815556089918582,False,False,False,locked_oos_trade_event_count_12_below_20;train_return_not_positive;train_validation_return_ratio_-1.8803_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-18.580_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-3.503_not_above_10.000
51,htf_trend_1h_ethusdt_lb12_th0p04_4p0x_0p15_19c69768,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,1h,0.05141448485713096,-0.008487047201237163,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_6.660_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-7.073_not_above_10.000
52,htf_funding_squeeze_4h_solusdt_lb12_0p0_4p0x_0p1_a4b6dc4f,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,4h,0.0678681775328247,-0.026600340503143083,False,False,False,locked_oos_trade_event_count_14_below_20;train_return_not_positive;train_validation_return_ratio_-1.6955_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-18.441_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-47.501_not_above_10.000
53,htf_funding_squeeze_4h_solusdt_lb6_-2e-05_5p0x_0p1_937a14c3,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,4h,0.08613929727943592,-0.008329935829477497,False,False,False,locked_oos_trade_event_count_8_below_20;train_return_not_positive;train_validation_return_ratio_-2.4823_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-28.135_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-20.825_not_above_10.000
54,htf_trend_4h_ethusdt_lb12_th0p04_5p0x_0p15_d7568255,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,4h,0.05188946608775691,-0.07890985363022773,False,False,False,locked_oos_trade_event_count_18_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-58.452_not_above_10.000
55,htf_trend_4h_trxusdt_lb24_th0p005_5p0x_0p1_9fb715a6,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.062188271720298394,0.03203493393753609,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.3264_below_0.50;train_return_per_turnover_proxy_bps_-6.761_not_above_10.000
56,htf_trend_6h_trxusdt_lb48_th0p005_4p0x_0p15_53c4ae13,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,6h,0.06824958657241353,0.001969256581693335,False,False,False,validation_trade_event_count_24_below_30;train_return_not_positive;train_validation_return_ratio_-1.3330_below_0.50;train_return_per_turnover_proxy_bps_-8.566_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_1.094_not_above_10.000
57,htf_trend_4h_trxusdt_lb12_th0p005_5p0x_0p1_d0a32b1a,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.05256693673175583,-0.0017521864552920707,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_3.613_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-0.815_not_above_10.000
58,htf_trend_4h_trxusdt_lb48_th0p02_4p0x_0p1_73388111,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.05391437593620085,0.012358792950534436,False,False,False,train_validation_return_ratio_0.0205_below_0.50;train_return_per_turnover_proxy_bps_0.149_not_above_10.000
59,htf_trend_2h_trxusdt_lb48_th0p005_4p0x_0p15_eccffb21,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,2h,0.06075106527670804,0.03180243306754438,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.0134_below_0.50;train_return_per_turnover_proxy_bps_-2.932_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_9.465_not_above_10.000
60,htf_trend_4h_solusdt_lb12_th0p02_5p0x_0p15_630dacc6,no_promotion_shadow_or_reject,htf_trend_persistence,SOLUSDT,4h,0.08700022349030934,-0.07698612193411469,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.5642_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-6.257_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-28.513_not_above_10.000
179,htf_trend_4h_ethusdt_lb48_th0p04_3p0x_0p1_2956d92f,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,4h,0.028260720902371528,0.011855273390769527,False,False,False,validation_trade_event_count_24_below_30;locked_oos_trade_event_count_16_below_20
391,htf_trend_1h_ethusdt_lb6_th0p02_5p0x_0p15_3a23dcc0,validation_alpha_shadow_until_execution_efficiency,htf_trend_persistence,ETHUSDT,1h,0.021536763580238816,0.04149838109695869,False,False,False,train_return_per_turnover_proxy_bps_0.343_not_above_10.000;validation_return_per_turnover_proxy_bps_2.354_not_above_10.000
